time_TR,price,15m_pos,15m_neg,15m_net,1h_pos,1h_neg,1h_net,4h_pos,4h_neg,4h_net,15m_votes,1h_votes,4h_votes,15m_hammer,15m_engulf,15m_sweep_reclaim,15m_reclaim_prev_high,1h_hammer,1h_engulf,1h_sweep_reclaim,1h_reclaim_prev_high,4h_hammer,4h_engulf,4h_sweep_reclaim,4h_reclaim_prev_high
2026-09-15 19:30:00+03:00,76368.0,1,5,-4,3,3,0,1,5,-4,"{""RSI"": -1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-15 19:45:00+03:00,76388.0,5,1,4,3,3,0,1,5,-4,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-15 20:00:00+03:00,76273.85,1,5,-4,3,3,0,0,6,-6,"{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-15 20:15:00+03:00,76522.01,5,1,4,6,0,6,3,3,0,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}",False,True,False,True,True,False,False,False,True,False,False,False
2026-09-15 20:30:00+03:00,76772.0,4,2,2,6,0,6,4,2,2,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}",False,False,False,True,False,False,False,True,False,False,False,False
2026-09-15 20:45:00+03:00,76962.0,6,0,6,6,0,6,4,2,2,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}",False,False,False,False,False,False,False,True,False,False,False,False
2026-09-15 21:00:00+03:00,76878.01,2,4,-2,4,2,2,4,2,2,"{""RSI"": -1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-15 21:15:00+03:00,76919.08,4,2,2,3,3,0,4,2,2,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}",True,False,False,False,True,False,False,False,False,False,False,False
2026-09-15 21:30:00+03:00,75773.02,0,6,-6,0,6,-6,0,6,-6,"{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-15 21:45:00+03:00,76000.0,4,2,2,0,6,-6,1,5,-4,"{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",True,False,True,False,False,False,True,False,False,False,True,False
2026-09-15 22:00:00+03:00,75978.93,2,4,-2,0,6,-6,1,5,-4,"{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,True,False
2026-09-15 22:15:00+03:00,75919.82,3,3,0,0,6,-6,1,5,-4,"{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,True,False
2026-09-15 22:30:00+03:00,75897.53,2,4,-2,0,6,-6,1,5,-4,"{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,True,False
2026-09-15 22:45:00+03:00,76186.48,5,1,4,3,3,0,2,4,-2,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,True,False,False,False,False,False,False,True,False
2026-09-15 23:00:00+03:00,76042.0,3,3,0,2,4,-2,1,5,-4,"{""RSI"": -1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-15 23:15:00+03:00,75744.94,0,6,-6,0,6,-6,0,6,-6,"{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-15 23:30:00+03:00,75862.19,4,2,2,0,6,-6,0,6,-6,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-15 23:45:00+03:00,75935.24,6,0,6,0,6,-6,1,5,-4,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,True,False,False,False,False,False,False,False,False
2026-09-16 00:00:00+03:00,75874.76,3,3,0,3,3,0,1,5,-4,"{""RSI"": -1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",True,False,False,False,True,False,False,False,False,False,False,False
2026-09-16 00:15:00+03:00,75680.51,0,6,-6,2,4,-2,0,6,-6,"{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-16 00:30:00+03:00,75748.77,4,2,2,2,4,-2,0,6,-6,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",True,False,True,False,False,False,False,False,False,False,False,False
2026-09-16 00:45:00+03:00,75453.85,0,6,-6,1,5,-4,0,6,-6,"{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-16 01:00:00+03:00,75381.89,1,5,-4,0,6,-6,0,6,-6,"{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-16 01:15:00+03:00,75493.0,4,2,2,2,4,-2,0,6,-6,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",True,True,True,False,True,False,False,False,False,False,False,False
2026-09-16 01:30:00+03:00,75613.72,6,0,6,3,3,0,0,6,-6,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,True,True,False,False,False,False,False,False,False
2026-09-16 01:45:00+03:00,75668.0,6,0,6,3,3,0,0,6,-6,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,True,True,False,False,False,False,False,False,False
2026-09-16 02:00:00+03:00,75896.99,6,0,6,6,0,6,1,5,-4,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,True,False,False,False,True,True,False,False,False
2026-09-16 02:15:00+03:00,75734.22,2,4,-2,6,0,6,0,6,-6,"{""RSI"": -1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": -1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-16 02:30:00+03:00,75673.74,2,4,-2,5,1,4,0,6,-6,"{""RSI"": -1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",True,False,False,False,False,False,False,False,False,False,False,False
2026-09-16 02:45:00+03:00,75644.48,0,6,-6,2,4,-2,0,6,-6,"{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-16 03:00:00+03:00,75702.64,4,2,2,6,0,6,4,2,2,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}",False,True,False,False,False,True,False,False,False,False,False,False
2026-09-16 03:15:00+03:00,75850.07,6,0,6,6,0,6,4,2,2,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}",False,False,False,True,False,True,False,False,False,False,False,False
2026-09-16 03:30:00+03:00,75802.27,3,3,0,6,0,6,4,2,2,"{""RSI"": -1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}",False,False,False,False,False,True,False,False,False,False,False,False
2026-09-16 03:45:00+03:00,75772.1,0,6,-6,6,0,6,4,2,2,"{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}",False,False,False,False,False,True,False,False,False,False,False,False
2026-09-16 04:00:00+03:00,75786.07,2,4,-2,6,0,6,4,2,2,"{""RSI"": 1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-16 04:15:00+03:00,75871.46,6,0,6,6,0,6,4,2,2,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}",False,False,False,True,False,False,False,False,False,False,False,False
2026-09-16 04:30:00+03:00,75659.55,1,5,-4,1,5,-4,4,2,2,"{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}",False,False,True,False,False,False,False,False,False,False,False,False
2026-09-16 04:45:00+03:00,75489.14,0,6,-6,1,5,-4,0,6,-6,"{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-16 05:00:00+03:00,75659.07,3,3,0,5,1,4,4,2,2,"{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-16 05:15:00+03:00,75940.5,6,0,6,6,0,6,4,2,2,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}",False,False,False,True,False,True,False,False,False,False,False,False
2026-09-16 05:30:00+03:00,75964.78,5,1,4,6,0,6,4,2,2,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}",False,False,False,True,False,True,False,True,False,False,False,False
